0,"do","duration","noire"
1,"do","duration","noire"
2,"sol","duration","noire"
3,"sol","duration","noire"
4,"la","duration","noire"
5,"la","duration","noire"
6,"sol","duration","blanche"
8,"fa","duration","noire"
9,"fa","duration","noire"
10,"mi","duration","noire"
11,"mi","duration","noire"
12,"re","duration","noire"
13,"re","duration","noire"
14,"do","duration","blanche"
16,"sol","duration","noire"
17,"sol","duration","noire"
18,"fa","duration","noire"
19,"fa","duration","noire"
20,"mi","duration","noire"
21,"mi","duration","noire"
22,"re","duration","blanche"
24,"sol","duration","noire"
25,"sol","duration","noire"
26,"fa","duration","noire"
27,"fa","duration","noire"
28,"mi","duration","noire"
29,"mi","duration","noire"
30,"re","duration","blanche"
32,"do","duration","noire"
33,"do","duration","noire"
34,"sol","duration","noire"
35,"sol","duration","noire"
36,"la","duration","noire"
37,"la","duration","noire"
38,"sol","duration","blanche"
40,"fa","duration","noire"
41,"fa","duration","noire"
42,"mi","duration","noire"
43,"mi","duration","noire"
44,"re","duration","noire"
45,"re","duration","noire"
46,"do","duration","blanche"
